"Your cart is empty","Ihr Warenkorb ist leer"
"Looks like you haven't made your choice yet.","Sieht aus, als hätten Sie Ihre Wahl noch nicht getroffen."
"Continue shopping","Weiter einkaufen"
"days until end of promotion!","tage bis zum Ende der Aktion!"
"Still","Noch"
"products left!","produkte übrig!"
"Special offer:","Sonderangebot:"
"lees meer","Mehr lesen"
"Read more","Mehr lesen"
"Read less","Weniger lesen"
"Description","Beschreibung"
"Delivery time:","Lieferzeit:"
"lees minder","weniger lesen"
"As low as","Ab"
"Related search terms","Verwandte Suchbegriffe"
"Did you mean","Meinten Sie"
"Search entire store here...","Suchen Sie im gesamten Shop..."
"Place Order","Bestellen und bezahlen"
"Please enter at least %0 characters.","Bitte geben Sie mindestens %0 Zeichen ein."
"Please enter at least 1 character.","Bitte geben Sie mindestens 1 Zeichen ein."
"You might also like:","Das könnte Ihnen auch gefallen:"
"Cart is empty","Warenkorb ist leer"
"Product Options:","Produktoptionen:"
"Search terms","Suchbegriffe"
"Read more","Mehr lesen"
"Projects","Projekte"
"Collections","Kollektionen"
"Who Viewed This Also Viewed","Kunden, die dies angesehen haben, haben auch angesehen"
"Subtotal:","Zwischensumme:"
"Subtotal","Zwischensumme"
"Please select a region, state or province.","Bitte wählen Sie eine Region, ein Bundesland oder eine Provinz."
"Nickname","Spitzname"
"Your Rating:","Ihre Bewertung:"
"You're reviewing:","Sie bewerten:"
"for buying this product!","für den Kauf dieses Produkts!"
"Regular Price","Normaler Preis"
"Revenue","Einnahmen"
"Price: high to low","Preis: hoch zu niedrig"
"Price: low to high","Preis: niedrig zu hoch"
"Biggest Saving","Meiste Ersparnis"
"New","Neu"
"Top Rated","Bestbewertet"
"Reviews Count","Anzahl Bewertungen"
"Now in Wishlists","Jetzt in Wunschlisten"
"Most Viewed","Am häufigsten angesehen"
"Product Name","Produktname"
"Position","Position"
"(Flat Rate - Fixed)","(Pauschale - Fest)"
"Shipping & Handling","Versand & Bearbeitung"
"Apply Rewards","Belohnungen anwenden"
"Apply Discount Code","Rabattcode anwenden"
"Item","Artikel"
"Submit","Einreichen"
"Contact Details","Kontaktdetails"
"What’s on your mind?","Was beschäftigt Sie?"
"Name","Name"
"Jot us a note and we’ll get back to you as quickly as possible.","Schreiben Sie uns eine Nachricht und wir werden uns so schnell wie möglich bei Ihnen melden."
"Write Us","Schreiben Sie uns"
"Contact Us","Kontaktieren Sie uns"
"You have no rewards.","Sie haben keine Belohnungen."
"There are no active subscriptions.","Es gibt keine aktiven Abonnements."
"Subscription option","Abonnementoption"
"General Subscription","Allgemeines Abonnement"
"You have submitted no reviews.","Sie haben keine Bewertungen abgegeben."
"You have no stored payment methods.","Sie haben keine gespeicherten Zahlungsmethoden."
"Customer Address","Kundenadresse"
"City","Stadt"
"Street Address 2","Straße Adresse 2"
"Street Address","Straße Adresse"
"Address","Adresse"
"Edit Address","Adresse bearbeiten"
"You have not set a default billing address.","Sie haben keine Standard-Rechnungsadresse festgelegt."
"Default Shipping Address","Standardversandadresse"
