"Your cart is empty","Tu carrito esta vacío"
"Looks like you haven't made your choice yet.","Parece que aún no has hecho tu elección."
"Continue shopping","Seguir comprando"
"days until end of promotion!","días hasta el final de la promoción!"
"Still","Quedan"
"products left!","productos restantes!"
"Special offer:","Oferta especial:"
"lees meer","leer más"
"Read more","leer más"
"Read less","Leer menos"
"Description","Descripción"
"Delivery time:","Plazo de entrega:"
"lees minder","leer menos"
"As low as","Desde"
"Related search terms","Términos de búsqueda relacionados"
"Did you mean","Quisiste decir"
"Search entire store here...","Busca en toda la tienda aquí..."
"Place Order","Realizar pedido"
"Please enter at least %0 characters.","Por favor, ingresa al menos %0 caracteres."
"Please enter at least 1 character.","Por favor, ingresa al menos 1 carácter."
"You might also like:","También te puede gustar:"
"Cart is empty","El carrito está vacío"
"Product Options:","Opciones del producto:"
"Search terms","Términos de búsqueda"
"Read more","Leer más"
"Projects","Proyectos"
"Collections","Colecciones"
"Who Viewed This Also Viewed","A quienes vieron esto también les gustó"
"Subtotal:","Subtotal:"
"Subtotal","Subtotal"
"Please select a region, state or province.","Por favor selecciona una región, estado o provincia."
"Nickname","Apodo"
"Your Rating:","Tu calificación:"
"You're reviewing:","Estás reseñando:"
"for buying this product!","¡por comprar este producto!"
"Regular Price","Precio regular"
"Revenue","Ingresos"
"Price: high to low","Precio: alto a bajo"
"Price: low to high","Precio: bajo a alto"
"Biggest Saving","Mayor ahorro"
"New","Nuevo"
"Top Rated","Más valorado"
"Reviews Count","Número de reseñas"
"Now in Wishlists","Ahora en listas de deseos"
"Most Viewed","Más visto"
"Product Name","Nombre del producto"
"Position","Posición"
"(Flat Rate - Fixed)","(Tarifa fija)"
"Shipping & Handling","Envío y manejo"
"Apply Rewards","Aplicar recompensas"
"Apply Discount Code","Aplicar código de descuento"
"Item","Artículo"
"Submit","Enviar"
"Contact Details","Detalles de contacto"
"What’s on your mind?","¿En qué piensas?"
"Name","Nombre"
"Jot us a note and we’ll get back to you as quickly as possible.","Déjanos una nota y te responderemos lo antes posible."
"Write Us","Escríbenos"
"Contact Us","Contáctanos"
"You have no rewards.","No tienes recompensas."
"There are no active subscriptions.","No hay suscripciones activas."
"Subscription option","Opción de suscripción"
"General Subscription","Suscripción general"
"You have submitted no reviews.","No has enviado reseñas."
"You have no stored payment methods.","No tienes métodos de pago guardados."
"Customer Address","Dirección del cliente"
"City","Ciudad"
"Street Address 2","Dirección 2"
"Street Address","Dirección"
"Address","Dirección"
"Edit Address","Editar dirección"
"You have not set a default billing address.","No has establecido una dirección de facturación predeterminada."
"Default Shipping Address","Dirección de envío predeterminada"
"Default Billing Address","Dirección de facturación predeterminada"
"Manage Addresses","Gestionar direcciones"
"Edit","Editar"
"You aren't subscribed to our newsletter.","No estás suscrito a nuestro boletín."
"Newsletters","Boletines"
"Contact Information","Información de contacto"
"Save","Guardar"
"Go back","Regresar"
"Change Password","Cambiar contraseña"
"Change Email","Cambiar correo electrónico"
"You have placed no orders.","No has realizado pedidos"
"You have no items in your wish list.","No tienes artículos en tu lista de deseos."
"Current Balance","Saldo actual"
"Total Earned: ","Total ganado: "
"Total Spent: ","Total gastado: "
"Expired: ","Expirado: "
"My Account","Mi cuenta"
"Sign Out","Cerrar sesión"
"Reward Points History","Historial de puntos de recompensa"
"Reward Points Amasty","Puntos de recompensa Amasty"
"Back in Stock Subscriptions","Suscripciones de vuelta en stock"
"Newsletter Subscriptions","Suscripciones al boletín"
"My Product Reviews","Mis reseñas de productos"
"Stored Payment Methods","Métodos de pago guardados"
"My Wish List","Mi lista de deseos"
"My Downloadable Products","Mis productos descargables"
"My Orders","Mis pedidos"
"Address Book","Libro de direcciones"
"Account Information","Información de la cuenta"
"My Rewards","Mis recompensas"
"Customer Login","Inicio de sesión del cliente"
"Sign In","Iniciar sesión"
"More Information","Más información"
"Review & Payments","Reseñas y pagos"
"Shipping Methods","Métodos de envío"
"Country","País"
"Company","Empresa"
"Phone Number","Número de teléfono"
"Order Summary","Resumen del pedido"
"Estimate Shipping and Tax","Estimar envío e impuestos"
"Enter your destination to get a shipping estimate.","Ingresa tu destino para obtener una estimación de envío."
"State/Province","Estado/Provincia"
"Zip/Postal Code","Código postal"
"Grand Total","Total general"
"Proceed to checkout","Proceder al pago"
"Update Shopping Cart","Actualizar carrito"
"Summary","Resumen"
"Shopping Cart","Carrito"
"Customer Information","Información del cliente"
"or","o"
"View and Edit Cart","Ver y editar carrito"
"Checkout","Pagar"
"My Cart","Mi carrito"
"The password must include at least %1 or more of: uppercase (A-Z), lowercase (a-z), number and symbol.","La contraseña debe incluir al menos %1 o más de: mayúsculas (A-Z), minúsculas (a-z), números y símbolos."
"Create New Customer Account","Crear una nueva cuenta de cliente"
"Create an Account","Crear una cuenta"
"Back","Volver"
"Confirm Password","Confirmar contraseña"
"Sign-in Information","Información de inicio de sesión"
"Allow remote shopping assistance","Permitir asistencia de compra remota"
"Sign Up for Newsletter","Suscribirse al boletín"
"First Name","Nombre"
"Last Name","Apellido"
"Personal Information","Información personal"
"Forgot Your Password?","¿Olvidaste tu contraseña?"
"New Customers","Clientes nuevos"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Crear una cuenta tiene muchos beneficios: pagar más rápido, mantener más de una dirección, rastrear pedidos y más."
"If you have an account, sign in with your email address.","Si tienes una cuenta, inicia sesión con tu dirección de correo electrónico."
"Shop By","Comprar por"
"Related Products","Productos relacionados"
"Category","Categoría"
"Only registered users can write reviews. Please <a href=""%1"" class=""underline"">Sign in</a> or <a href=""%2"" class=""underline"">create an account</a>","Solo los usuarios registrados pueden escribir reseñas. Por favor <a href=""%1"" class=""underline"">inicia sesión</a> o <a href=""%2"" class=""underline"">crea una cuenta</a>"
"Write Your Own Review","Escribe tu propia reseña"
"You can earn","Puedes ganar"
"Reward Points","Puntos de recompensa"
"for registration!","¡por registrarte!"
"for making a purchase! Available for","¡por realizar una compra! Disponible para"
"registered","registrados"
"customers only.","clientes solamente."
