"Yes, I agree to the","Ja ik ga akkoord met de"
"terms and conditions","algemene voorwaarden"
"100% Secure. Zero Spam.","100% Veilig. Geen spam."
"Limited Stock","Beperkte voorraad"
"Error!","Fout!"
"Please fill in all required fields.","Vul alle verplichte velden in."
"TRY AGAIN","OPNIEUW PROBEREN"
"New Arrival","Nieuw Artikel"
"Order process completed successfully.","Bestelproces succesvol voltooid."
"Show More","Meer tonen"
"Show Less","Minder tonen"
"You are being redirected, please wait...","U wordt doorgestuurd, even geduld a.u.b."
"Adding...","Toevoegen…"
Cancel,Annuleer
View & Continue,Bekijk & Ga verder
Apply,Toepassen
Apply Discount Code,Kortingscode toepassen
Do you have a gift card?,Heb je een waardebon?
Processing ...,Aan het verwerken ...
The coupon code isn't valid. Verify the code and try again.,De couponcode is ongeldig. Controleer de code en probeer het opnieuw.
Saving your preference,Voorkeur wordt opgeslagen
The product's required option(s) weren't entered. Make sure the options are entered and try again.,De vereiste optie(s) van het product zijn niet ingevoerd. Controleer of de opties zijn ingevoerd en probeer het opnieuw.
Remove,Verwijder
Edit,Bewerk
Each,per stuk
days,dagen
until end of promotion!,tot einde actie!
See our linkedin profile!,Bekijk ons LinkedIn-profiel!
See our facebook profile!,Bekijk ons Facebook-profiel!
See our instagram profile!,Bekijk ons Instagram-profiel!
See our pinterest profile!,Bekijk ons Pinterest-profiel!
Increase quantity,Hoeveelheid verhogen
Decrease quantity,Hoeveelheid verlagen
Own furniture workshop & real craftsmanship,Eigen meubelmakerij & echte vakmanschap
Long lasting due to good quality,Gaat lang mee door goede kwaliteit
Sustainable & Certified Wood,Duurzaam & Gecertificeerd Hout
Own color?,Eigen kleur?
Maximum %1 characters,Maximaal %1 tekens
Reviews,Beoordelingen
Your cart is empty,Je winkelwagen is leeg
Looks like you haven't made your choice yet.,Het lijkt erop dat u nog geen keuze heeft gemaakt.
Continue shopping,Verder winkelen
days until end of promotion!,dagen tot einde actie!
Still,Nog
products left!,producten over!
Special offer:,Speciale aanbieding:
As low as,Vanaf
Read more,Lees Meer
Read less,Lees Minder
Description,Beschrijving
description,Beschrijving
Delivery time:,Levertijd:
Related search terms,Gerelateerde zoek termen
Did you mean,Bedoel je
Search entire store here...,Waar ben je naar op zoek?
Place Order,Bestellen en betalen
Please enter at least %0 characters.,Voer minimaal %0 tekens in.
Please enter at least 1 character.,Voer minimaal 1 teken in.
You might also like:,Misschien ook leuk:
Cart is empty,Winkelwagen is leeg
Product Options:,Product opties:
Search terms,Zoek termen
Read more,Lees Meer
Projects,Projecten
Collections,Collecties
Who Viewed This Also Viewed,Klanten bekeken ook
Subtotal:,Subtotaal:
"Please select a region, state or province.","Selecteer een regio, staat of provincie."
Nickname,Gebruikersnaam
Review,Beoordeling
Your Rating:,Uw beoordeling:
Write Your Own Review,Schrijf uw eigen beoordeling
Submit Review,Beoordeling indienen
Review by,Beoordeling door
You're reviewing:,U bent aan het beoordelen:
for buying this product!,voor de koop van dit product!
Regular Price,Normale prijs
Revenue,Winst
Price: high to low,Prijs: hoog naar laag
Price: low to high,Prijs: laag naar hoog
Biggest Saving,Meest bespaard
New,Nieuw
Top Rated,Top beoordeeld
Reviews Count,Aantal beoordelingen
Now in Wishlists,Nu in wenslijst
Most Viewed,Meest bekeken
Product Name,Product naam
Position,Positie
(Flat Rate - Fixed),(Vast tarief)
Shipping & Handling,Verzending en afhandeling
Apply Rewards,Beloningen toepassen
Item,Product
Submit,Verstuur
Contact Details,Contact details
What’s on your mind?,Wat is er aan de hand?
Get in touch,Contact opnemen,
Do you have a question or need advice? Fill in your details below and we’ll respond within 24 hours.,Heb je een vraag of wil je advies? Vul hieronder je gegevens in en we reageren binnen 24 uur.,
Name,Naam,
Phone number (optional),Telefoonnummer (optioneel),
E-mail,E-mail,
Your question or message,Je vraag of bericht,
Send message,Bericht versturen
You have no rewards.,U heeft geen beloningen.
There are no active subscriptions.,Er zijn geen actieve abonnementen.
Subscription option,Abonnement optie
General Subscription,Algemeen abonnement
You have submitted no reviews.,U heeft geen product beoordelingen.
You have no stored payment methods.,U heeft geen opgeslagen betaalmethodes.
Customer Address,Klant adres
City,Stad
Street Address 2,Straat adres 2
Street Address,Straat adres
Address,Adres
Edit Address,Bewerk adres
You have not set a default billing address.,U heeft geen standaard factuuradres ingesteld.
Default Shipping Address,Standaard verzendadres
Default Billing Address,Standaard factuuradres
Manage Addresses,Beheer adres boek
Edit,Bewerk
You aren't subscribed to our newsletter.,U bent niet ingechreven op onze nieuwsbrief.
Newsletters,Nieuwsbrief
Contact Information,Contactgegevens
Save,Opslaan
Go back,Terug
Change Password,Verander wachtwoord
Change Email,Verander email
You have placed no orders.,U heeft geen bestellingen geplaatst
You have no items in your wish list.,U heeft geen producten in u wensen lijst.
Current Balance,Huidige punten
Total Earned: ,Totaal verdient:
Total Spent: ,Totaal gebruikt:
Expired: ,Verlopen:
My Account,Mijn account
Sign Out,Uitloggen
Reward Points History,Beloningspunten geschiedenis
Reward Points Amasty,Beloningspunten Amasty
Back in Stock Subscriptions,Weer op voorraad abonnementen
Newsletter Subscriptions,Nieuwsbrief abonnementen
My Product Reviews,Mijn product beoordelingen
Stored Payment Methods,Opgeslagen betaalmethodes
My Wish List,Mijn wensen lijst
My Downloadable Products,Mijn downloadbare producten
My Orders,Mijn bestellingen
Address Book,Adres boek
Account Information,Account informatie
My Rewards,Mijn punten
Customer Login,Klanten login
Sign In,Login
More Information,Meer informatie
Review & Payments,Beoordeling en betalingen
Shipping Methods,Verzendmethoden
Country,Land
Company,Bedrijf
Phone Number,Telefoonnummer
Order Summary,Bestelling overzicht
Estimate Shipping and Tax,Verzendkosten en BTW
Enter your destination to get a shipping estimate.,Voer uw bestemming in om een schatting van de verzendkosten te krijgen.
State/Province,Staat/Provincie
Zip/Postal Code,Postcode
Grand Total,Totaalbedrag
Checkout securely,Veilig afrekenen
Update Shopping Cart,Werk winkelwagen bij
Summary,Overzicht
Shopping Cart,Uw winkelwagen
Customer Information,Klant informatie
or,of
View and Edit Cart,Bekijk winkelwagen
Checkout,Afrekenen
"The password must include at least %1 or more of: uppercase (A-Z), lowercase (a-z), number and symbol.","Het wachtwoord moet ten minste %1 of meer van de volgende elementen bevatten: hoofdletters (A-Z), kleine letters (a-z), cijfers en symbolen."
Create New Customer Account,Maak een nieuw klantaccount
Create an Account,Maak een account
Back,Terug
Confirm Password,Bevestig wachtwoord
Sign-in Information,Login informatie
Allow remote shopping assistance,Hulp bij winkelen op afstand toestaan
Sign Up for Newsletter,Abonneren op nieuwsbrief
First Name,Voornaam
Last Name,Achternaam
Personal Information,Persoonlijke gegevens
Forgot Your Password?,Wachtwoord vergeten?
New Customers,Nieuwe klanten
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Een account aanmaken heeft veel voordelen: sneller bestellen, meer dan 1 adres toevoegen, bestellingen volgen en meer."
"If you have an account, sign in with your email address.",Heeft u al een account? Log in met u email adres.
Shop By,Filteren
Related Products,Gerelateerde producten
Category,Categorie
"Only registered users can write reviews. Please <a href=""%1"" class=""underline"">Sign in</a> or <a href=""%2"" class=""underline"">create an account</a>","Alleen ingelogde gebruikers kunnen een review schrijven. <a href=""%1"" class=""underline"">Login</a> of <a href=""%2"" class=""underline"">maak een account.</a>"
You can earn,Koop dit product nu en ontvang
Reward Points,punten
for registration!,for registration!
for making a purchase! Available for,Voor
registered,geregistreerde
customers only.,klanten
for completing your purchase!,for completing your purchase!
Apply Rewards,Apply Rewards
You Have <strong>%1</strong> points left,You Have <strong>%1</strong> points left
%3 for every %1%2,%3 for every %1%2
Enter reward amount,Enter reward amount
Cancel Reward,Cancel Reward
"Note: You need at least %1 points to pay for the
                        order with reward points.","Note: You need at least %1 points to pay for the
                        order with reward points."
Note: You have %1 points only.,Note: You have %1 points only.
Earn,Earn
Notification options,Notification options
"Receive emails when reward points
                            are added to the balance","Receive emails when reward points
                            are added to the balance"
"Receive emails when reward
                        points are about to expire","Receive emails when reward
                        points are about to expire"
Save Notification Options,Save Notification Options
Date,Date
Change,Change
Comment,Comment
Action,Action
Points Left,Points Left
Amount,Amount
Days Left,Days Left
You have no rewards.,You have no rewards.
Current Balance,Current Balance
Total Earned: ,Total Earned:
Total Spent: ,Total Spent:
Expired: ,Expired:
Expiring Points Breakdown,Expiring Points Breakdown
Amount to Expire,Amount to Expire
Expiration Date,Expiration Date
Shipping Address,Verzendadres
View product,Bekijk product
In stock,Op voorraad
Out of stock,Niet op voorraad
Order on request,Bestel op aanvraag
Order on Request,Bestel op aanvraag
Open gallery full screen,Open afbeelding galerij
Show more options,Toon meer opties
Show less options,Toon minder opties
Regular shopper? ,Vaste klant?
Contact information,Contactgegevens
"Your product, made by hand.","Uw product, met de hand gemaakt."
"Expected shipment:","Verwachte verzending:"
"Expected delivery: %1","Verwachte bezorging: %1",
"View Cart","Bekijk winkelwagen"
"Continue Shopping","doorgaan met winkelen"
"Because we customize and build this product especially for you, it takes us %1 to guarantee the quality you deserve. It will be shipped to you immediately afterwards.","Omdat we dit product speciaal voor u op maat maken en produceren, hebben we %1 nodig om de kwaliteit te garanderen die u verdient. Het wordt direct naar u verzonden."
"Available from:","Leverbaar vanaf:"
"Type here","Typ hier"
"(Maximum %1 characters)"," (maximaal %1 tekens)"
"Product Added to Cart!","Product toegevoegd aan winkelwagen!"
"What would you like to do next?","Wat wil je hierna doen?"
"View description","Bekijk beschrijving"
"Discover our latest articles about interior, design and living trends","Ontdek onze laatste artikelen over interieur, design en woontrends"
"View all","Bekijk alles"
"Sale ends in","De uitverkoop eindigt over"
"hrs","uren"
"mins","minuten",
"secs","seconden",
"Only %1 left at this price","Slechts nog %1 beschikbaar voor deze prijs",
"Configurable options","Pas maatvoering aan",
"Submit","Indienen",
"Search...","Zoeken...",
"Directly available","Direct beschikbaar",
