"Your cart is empty","Votre panier est vide"
"Looks like you haven't made your choice yet.","On dirait que vous n'avez pas encore fait votre choix."
"Continue shopping","Continuer les achats"
"days until end of promotion!","jours avant la fin de la promotion!"
"Still","Toujours"
"products left!","produits restants!"
"Special offer:","Offre spéciale:"
"lees meer","En savoir plus"
"Read more","Méi liesen"
"Read less","Manner liesen"
"Description","Description"
"Delivery time:","Délais de livraison:"
"lees minder","lire moins"
"As low as","À partir de"
"Related search terms","Termes de recherche associés"
"Did you mean","Vouliez-vous dire"
"Search entire store here...","Cherchez dans l'ensemble du magasin ici..."
"Place Order","Passer la commande"
"Please enter at least %0 characters.","Veuillez entrer au moins %0 caractères."
"Please enter at least 1 character.","Veuillez entrer au moins 1 caractère."
"You might also like:","Vous aimerez peut-être aussi :"
"Cart is empty","Le panier est vide"
"Product Options:","Options du produit :"
"Search terms","Termes de recherche"
"Read more","Lire la suite"
"Projects","Projets"
"Collections","Collections"
"Who Viewed This Also Viewed","Ceux qui ont vu cela ont aussi regardé"
"Subtotal:","Sous-total :"
"Subtotal","Sous-total"
"Please select a region, state or province.","Veuillez sélectionner une région, un état ou une province."
"Nickname","Surnom"
"Your Rating:","Votre évaluation :"
"You're reviewing:","Vous évaluez :"
"for buying this product!","pour avoir acheté ce produit !"
"Regular Price","Prix régulier"
"Revenue","Revenu"
"Price: high to low","Prix : du plus élevé au plus bas"
"Price: low to high","Prix : du plus bas au plus élevé"
"Biggest Saving","Économie maximale"
"New","Nouveau"
"Top Rated","Mieux noté"
"Reviews Count","Nombre d'avis"
"Now in Wishlists","Maintenant dans les listes de souhaits"
"Most Viewed","Les plus consultés"
"Product Name","Nom du produit"
"Position","Position"
"(Flat Rate - Fixed)","(Tarif fixe)"
"Shipping & Handling","Expédition et manutention"
"Apply Rewards","Appliquer les récompenses"
"Apply Discount Code","Appliquer le code promo"
"Item","Article"
"Submit","Soumettre"
"Contact Details","Coordonnées"
"What’s on your mind?","Qu'avez-vous en tête ?"
"Name","Nom"
"Jot us a note and we’ll get back to you as quickly as possible.","Laissez-nous un message et nous vous répondrons dès que possible."
"Write Us","Écrivez-nous"
"Contact Us","Contactez-nous"
"You have no rewards.","Vous n'avez pas de récompenses."
"There are no active subscriptions.","Il n'y a pas d'abonnements actifs."
"Subscription option","Option d'abonnement"
"General Subscription","Abonnement général"
"You have submitted no reviews.","Vous n'avez soumis aucun avis."
"You have no stored payment methods.","Vous n'avez pas de méthodes de paiement enregistrées."
"Customer Address","Adresse du client"
"City","Ville"
"Street Address 2","Adresse 2"
"Street Address","Adresse"
"Address","Adresse"
"Edit Address","Modifier l'adresse"
"You have not set a default billing address.","Vous n'avez pas défini d'adresse de facturation par défaut."
"Default Shipping Address","Adresse de livraison par défaut"
"Default Billing Address","Adresse de facturation par défaut"
"Manage Addresses","Gérer les adresses"
"Edit","Modifier"
"You aren't subscribed to our newsletter.","Vous n'êtes pas abonné à notre newsletter."
"Newsletters","Newsletters"
"Contact Information","Informations de contact"
"Save","Enregistrer"
"Go back","Retourner"
"Change Password","Changer le mot de passe"
"Change Email","Changer l'email"
"You have placed no orders.","Vous n'avez passé aucune commande"
"You have no items in your wish list.","Vous n'avez aucun article dans votre liste de souhaits."
"Current Balance","Solde actuel"
"Total Earned: ","Total gagné : "
"Total Spent: ","Total dépensé : "
"Expired: ","Expiré : "
"My Account","Mon compte"
"Sign Out","Se déconnecter"
"Reward Points History","Historique des points de récompense"
"Reward Points Amasty","Points de récompense Amasty"
"Back in Stock Subscriptions","Abonnements de retour en stock"
"Newsletter Subscriptions","Abonnements à la newsletter"
"My Product Reviews","Mes avis sur les produits"
"Stored Payment Methods","Méthodes de paiement enregistrées"
"My Wish List","Ma liste de souhaits"
"My Downloadable Products","Mes produits téléchargeables"
"My Orders","Mes commandes"
"Address Book","Carnet d'adresses"
"Account Information","Informations sur le compte"
"My Rewards","Mes récompenses"
"Customer Login","Connexion client"
"Sign In","Se connecter"
"More Information","Plus d'informations"
"Email Address","Adresse email"
"Review & Payments","Avis et paiements"
"Shipping Methods","Méthodes de livraison"
"Country","Pays"
"Company","Société"
"Phone Number","Numéro de téléphone"
"Order Summary","Résumé de la commande"
"Estimate Shipping and Tax","Estimer les frais de livraison et la taxe"
"Enter your destination to get a shipping estimate.","Entrez votre destination pour obtenir une estimation des frais de livraison."
"State/Province","État/Province"
"Zip/Postal Code","Code postal"
"Grand Total","Total général"
"Proceed to checkout","Passer à la caisse"
"Update Shopping Cart","Mettre à jour le panier"
"Summary","Résumé"
"Shopping Cart","Panier"
"Customer Information","Informations client"
"or","ou"
"View and Edit Cart","Voir et modifier le panier"
"Checkout","Passer à la caisse"
"My Cart","Mon panier"
"The password must include at least %1 or more of: uppercase (A-Z), lowercase (a-z), number and symbol.","Le mot de passe doit inclure au moins %1 ou plus des éléments suivants : lettres majuscules (A-Z), lettres minuscules (a-z), chiffres et symboles."
"Create New Customer Account","Créer un nouveau compte client"
"Create an Account","Créer un compte"
"Back","Retour"
"Confirm Password","Confirmer le mot de passe"
"Sign-in Information","Informations de connexion"
"Allow remote shopping assistance","Autoriser l'assistance à distance pour les achats"
"Sign Up for Newsletter","S'inscrire à la newsletter"
"First Name","Prénom"
"Last Name","Nom de famille"
"Personal Information","Informations personnelles"
"Forgot Your Password?","Mot de passe oublié ?"
"New Customers","Nouveaux clients"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Créer un compte présente de nombreux avantages : passer à la caisse plus rapidement, conserver plusieurs adresses, suivre les commandes, etc."
"If you have an account, sign in with your email address.","Si vous avez un compte, connectez-vous avec votre adresse email."
"Shop By","Acheter par"
"Related Products","Produits associés"
"Category","Catégorie"
"Only registered users can write reviews. Please <a href=""%1"" class=""underline"">Sign in</a> or <a href=""%2"" class=""underline"">create an account</a>","Seuls les utilisateurs enregistrés peuvent écrire des avis. Veuillez <a href=""%1"" class=""underline"">vous connecter</a> ou <a href=""%2"" class=""underline"">créer un compte</a>"
"Write Your Own Review","Écrivez votre propre avis"
"You can earn","Vous pouvez gagner"
