"Your cart is empty","Je winkelwagen is leeg"
"Looks like you haven't made your choice yet.","Het lijkt erop dat u nog geen keuze heeft gemaakt."
"Continue shopping","Verder winkelen"
"days until end of promotion!","dagen tot einde actie!"
"Still","Nog"
"products left!","producten over!"
"Special offer:","Speciale aanbieding:"
"As low as","Vanaf"
"Read more","Lees meer"
"Read less","Lees minder"
"Description","Beschrijving"
"Delivery time:","Levertijd:"
"Related search terms","Gerelateerde zoek termen"
"Did you mean","Bedoel je"
"Search entire store here...","Waar ben je naar op zoek?"
"Place Order","Bestellen en betalen"
"Please enter at least %0 characters.","Voer minimaal %0 tekens in."
"Please enter at least 1 character.","Voer minimaal 1 teken in."
"You might also like:","Misschien ook leuk:"
"Cart is empty","Winkelwagen is leeg"
"Product Options:","Product opties:"
"Search terms","Zoek termen"
"Read more","Lees meer"
"Projects","Projecten"
"Collections","Collecties"
"Who Viewed This Also Viewed","Klanten bekeken ook"
"Subtotal:","Subtotaal:"
"Subtotal","Subtotaal"
"Please select a region, state or province.","Selecteer een regio, staat of provincie."
"Nickname","Gebruikersnaam"
"Your Rating:","Uw beoordeling:"
"You're reviewing:","U bent aan het beoordelen:"
"for buying this product!","voor de koop van dit product!"
"Regular Price","Normale prijs"
"Revenue","Winst"
"Price: high to low","Prijs: hoog naar laag"
"Price: low to high","Prijs: laag naar hoog"
"Biggest Saving","Meest bespaard"
"New","Nieuw"
"Top Rated","Top beoordeeld"
"Reviews Count","Aantal beoordelingen"
"Now in Wishlists","Nu in wenslijst"
"Most Viewed","Meest bekeken"
"Product Name","Product naam"
"Position","Positie"
"(Flat Rate - Fixed)","(Vast tarief)"
"Shipping & Handling","Verzending en afhandeling"
"Apply Rewards","Beloningen toepassen"
"Apply Discount Code","Kortingscode toepassen"
"Item","Product"
"Submit","Verstuur"
"Contact Details","Contact details"
"What’s on your mind?","Wat is er aan de hand?"
"Name","Naam"
"Jot us a note and we’ll get back to you as quickly as possible.","Schrijf ons een brief en we nemen zo snel mogelijk contact met u op."
"Write Us","Schijf naar ons"
"Contact Us","Neem contact op"
"You have no rewards.","U heeft geen beloningen."
"There are no active subscriptions.","Er zijn geen actieve abonnementen."
"Subscription option","Abonnement optie"
"General Subscription","Algemeen abonnement"
"You have submitted no reviews.","U heeft geen product beoordelingen."
"You have no stored payment methods.","U heeft geen opgeslagen betaalmethodes."
"Customer Address","Klant adres"
"City","Stad"
"Street Address 2","Straat adres 2"
"Street Address","Straat adres"
"Address","Adres"
