"Your cart is empty","Votre panier est vide"
"Looks like you haven't made your choice yet.","On dirait que vous n'avez pas encore fait votre choix."
"Continue shopping","Continuer les achats"
"days until end of promotion!","jours jusqu'à la fin de l'offre!"
"Still","Encore"
"products left!","produits restants!"
"Special offer:","Offre spéciale:"
"lees meer","En savoir plus"
"Read more","Lire plus"
"Read less","Lire moins"
"Description","Description"
"Delivery time:","Délais de livraison:"
"lees minder","lire moins"
"As low as","À partir de"
"Related search terms","Termes de recherche associés"
"Did you mean","Vouliez-vous dire"
"Search entire store here...","Recherchez dans tout le magasin ici..."
"Place Order","Passer commande"
"Please enter at least %0 characters.","Veuillez entrer au moins %0 caractères."
"Please enter at least 1 character.","Veuillez entrer au moins 1 caractère."
"You might also like:","Vous pourriez aussi aimer :"
"Cart is empty","Le panier est vide"
"Product Options:","Options de produit :"
"Search terms","Termes de recherche"
"Read more","Lire plus"
"Projects","Projets"
"Collections","Collections"
"Who Viewed This Also Viewed","Les clients qui ont vu ceci ont également vu"
"Subtotal:","Sous-total :"
"Subtotal","Sous-total"
"Please select a region, state or province.","Veuillez sélectionner une région, un état ou une province."
"Nickname","Surnom"
"Your Rating:","Votre note :"
"You're reviewing:","Vous évaluez :"
"for buying this product!","pour l'achat de ce produit !"
"Regular Price","Prix régulier"
"Revenue","Revenu"
"Price: high to low","Prix : élevé à bas"
"Price: low to high","Prix : bas à élevé"
"Biggest Saving","Économie la plus importante"
"New","Nouveau"
"Top Rated","Mieux noté"
"Reviews Count","Nombre de critiques"
"Now in Wishlists","Maintenant dans les listes de souhaits"
"Most Viewed","Les plus vus"
"Product Name","Nom du produit"
"Position","Position"
"(Flat Rate - Fixed)","(Taux fixe - Fixe)"
"Shipping & Handling","Expédition & Manutention"
"Apply Rewards","Appliquer les récompenses"
"Apply Discount Code","Appliquer le code de réduction"
"Item","Article"
"Submit","Soumettre"
"Contact Details","Détails du contact"
"What’s on your mind?","Qu'est-ce qui vous préoccupe ?"
"Name","Nom"
"Jot us a note and we’ll get back to you as quickly as possible.","Laissez-nous une note et nous vous répondrons dès que possible."
"Write Us","Écrivez-nous"
"Contact Us","Contactez-nous"
"You have no rewards.","Vous n'avez pas de récompenses."
"There are no active subscriptions.","Il n'y a pas d'abonnements actifs."
"Subscription option","Option d'abonnement"
"General Subscription","Abonnement général"
"You have submitted no reviews.","Vous n'avez soumis aucune critique."
"You have no stored payment methods.","Vous n'avez aucune méthode de paiement enregistrée."
"Customer Address","Adresse du client"
"City","Ville"
"Street Address 2","Adresse de rue 2"
"Street Address","Adresse de rue"
"Address","Adresse"
"Edit Address","Modifier l'adresse"
"You have not set a default billing address.","Vous n'avez pas défini d'adresse de facturation par défaut."
"Default Shipping Address","Adresse de livraison par défaut"
"Default Billing Address","Adresse de facturation par défaut"
"Manage Addresses","Gérer les adresses"
"Edit","Modifier"
"You aren't subscribed to our newsletter.","Vous n'êtes pas abonné à notre newsletter."
"Newsletters","Newsletters"
"Contact Information","Informations de contact"
"Save","Enregistrer"
"Go back","Retourner"
"Change Password","Changer le mot de passe"
"Change Email","Changer l'e-mail"
"You have placed no orders.","Vous n'avez passé aucune commande."
"You have no items in your wish list.","Vous n'avez aucun article dans votre liste de souhaits."
"Current Balance","Solde actuel"
"Total Earned: ","Total gagné : "
"Total Spent: ","Total dépensé : "
"Expired: ","Expiré :"
"My Account","Mon compte"
"Sign Out","Déconnexion"
"Reward Points History","Historique des points de récompense"
"Reward Points Amasty","Points de récompense Amasty"
"Back in Stock Subscriptions","Abonnements en stock"
"Newsletter Subscriptions","Abonnements à la newsletter"
"My Product Reviews","Mes critiques de produits"
"Stored Payment Methods","Méthodes de paiement enregistrées"
"My Wish List","Ma liste de souhaits"
"My Downloadable Products","Mes produits téléchargeables"
"My Orders","Mes commandes"
"Address Book","Carnet d'adresses"
"Account Information","Informations du compte"
"My Rewards","Mes récompenses"
"Customer Login","Connexion client"
"Sign In","Se connecter"
"More Information","Plus d'informations"
"Review & Payments","Avis et paiements"
"Shipping Methods","Méthodes d'expédition"
"Country","Pays"
"Company","Entreprise"
"Phone Number","Numéro de téléphone"
"Order Summary","Résumé de la commande"
"Estimate Shipping and Tax","Estimer les frais de port et les taxes"
"Enter your destination to get a shipping estimate.","Entrez votre destination pour obtenir une estimation des frais de port."
"State/Province","État/Province"
"Zip/Postal Code","Code postal"
"Grand Total","Total général"
"Proceed to checkout","Passer à la caisse"
"Update Shopping Cart","Mettre à jour le panier"
"Summary","Résumé"
"Shopping Cart","Panier"
"Customer Information","Informations client"
"or","ou"
"View and Edit Cart","Voir et modifier le panier"
"Checkout","Caisse"
"My Cart","Mon panier"
"The password must include at least %1 or more of: uppercase (A-Z), lowercase (a-z), number and symbol.","Le mot de passe doit inclure au moins %1 ou plus des éléments suivants : majuscule (A-Z), minuscule (a-z), chiffre et symbole."
"Create New Customer Account","Créer un nouveau compte client"
"Create an Account","Créer un compte"
"Back","Retour"
"Confirm Password","Confirmer le mot de passe"
"Sign-in Information","Informations de connexion"
"Allow remote shopping assistance","Autoriser l'assistance à distance pour les achats"
"Sign Up for Newsletter","S'inscrire à la newsletter"
"First Name","Prénom"
"Last Name","Nom de famille"
"Personal Information","Informations personnelles"
"Forgot Your Password?","Mot de passe oublié ?"
"New Customers","Nouveaux clients"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Créer un compte a de nombreux avantages : commander plus rapidement, garder plusieurs adresses, suivre les commandes et plus encore."
"If you have an account, sign in with your email address.","Si vous avez un compte, connectez-vous avec votre adresse e-mail."
"Shop By","Filtrer par"
"Related Products","Produits associés"
"Category","Catégorie"
"Only registered users can write reviews. Please <a href=""%1"" class=""underline"">Sign in</a> or <a href=""%2"" class=""underline"">create an account</a>","Seuls les utilisateurs enregistrés peuvent écrire des critiques. Veuillez <a href=""%1"" class=""underline"">vous connecter</a> ou <a href=""%2"" class=""underline"">créer un compte</a>."
"Write Your Own Review","Écrivez votre propre critique"
"You can earn","Vous pouvez gagner"
"Reward Points","points de récompense"
"for registration!","pour l'inscription !"
